llmlog paper figure description (sidecar; not for the article)

figure_pdf: fig_supp_sat_unsat_asymmetry.pdf
figure_id: supp_sat_unsat_asymmetry
variant: new

Header removed from PDF
- title: Supplementary: satisfiable/unsatisfiable asymmetry
- context: Subset: Horn / Non-Horn · Representation: Compact CNF + Natural Language CNF (+ If-then CNF on Horn only) · Prompt: examples-only vs algorithmic · Targets: see x-axis

Metric definition
- accuracy_mode: completed
- completed denominator: answered + unclear (excludes pending + errors)
- point inclusion threshold: completed >= 5

Numeric validation table: configuration-level accuracies (rep×prompt; aggregated over n,k)
target	subset	representation	prompt_group	prompt_label	split	total	pending	errors	answered	unclear	completed	correct	acc_completed
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2-pro__think-high / nonhorn_ex_only_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_from__openai_gpt-5.2__think-none / nonhorn_dpll_from_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2-pro__think-high / nonhorn_dpll_linear_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-dpll_alg_linear__openai_gpt-5.2__think-none / nonhorn_dpll_linear_cnf_nl_len5_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2-pro__think-high / nonhorn_ex_only_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_nl_len3_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_nl_len4_vars10_50_case10
- sat__repr-cnf_nl__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / nonhorn_ex_only_cnf_nl_len5_vars10_50_case10
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-examples_only__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len3_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len4_vars10_50
- sat__repr-horn_if_then__subset-nonhornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / baseline_case10_len5_vars10_50

Notes
- This file replaces the in-figure title/subtitle: contextual detail is here and in the LaTeX caption.
